Group,Dana,Mineral,Mineral_Lowercase,Mineral_CJML
"Phosphates, arsenates, and vanadates",40.05.08.04,Barahonaite,barahonaite,"""barahonaite"","
"Phosphates, arsenates, and vanadates",40.05.09,Walpurgite,walpurgite,"""walpurgite"","
"Phosphates, arsenates, and vanadates",40.05.09.01,Walpurgite,walpurgite,"""walpurgite"","
"Phosphates, arsenates, and vanadates",40.05.09.02,Orthowalpurgite,orthowalpurgite,"""orthowalpurgite"","
"Phosphates, arsenates, and vanadates",40.05.09.03,Phosphowalpurgite,phosphowalpurgite,"""phosphowalpurgite"","
"Phosphates, arsenates, and vanadates",40.05.10.01,Walentaite,walentaite,"""walentaite"","
"Phosphates, arsenates, and vanadates",40.05.11.01,Canaphite,canaphite,"""canaphite"","
"Phosphates, arsenates, and vanadates",40.05.12.01,Geminite,geminite,"""geminite"","
"Phosphates, arsenates, and vanadates",40.05.12.02,Pushcharovskite,pushcharovskite,"""pushcharovskite"","
"Phosphates, arsenates, and vanadates",40.05.13.01,Kolovratite,kolovratite,"""kolovratite"","
"Phosphates, arsenates, and vanadates",40.05.14.01,Wooldridgeite,wooldridgeite,"""wooldridgeite"","
"Phosphates, arsenates, and vanadates",40.05.15.01,Rimkorolgite,rimkorolgite,"""rimkorolgite"","
"Phosphates, arsenates, and vanadates",40.05.16.01,Fianelite,fianelite,"""fianelite"","
"Phosphates, arsenates, and vanadates",40.05.17.01,Bakhchisaraitsevite,bakhchisaraitsevite,"""bakhchisaraitsevite"","
"Phosphates, arsenates, and vanadates",41.01.01,Phoenicite,phoenicite,"""phoenicite"","
"Phosphates, arsenates, and vanadates",41.01.01.01,Chlorophoenicite,chlorophoenicite,"""chlorophoenicite"","
"Phosphates, arsenates, and vanadates",41.01.01.02,Magnesiochlorophoenicite,magnesiochlorophoenicite,"""magnesiochlorophoenicite"","
"Phosphates, arsenates, and vanadates",41.01.01.03,Jarosewichite,jarosewichite,"""jarosewichite"","
"Phosphates, arsenates, and vanadates",41.01.02.01,Theisite,theisite,"""theisite"","
"Phosphates, arsenates, and vanadates",41.01.02.02,Sabelliite,sabelliite,"""sabelliite"","
"Phosphates, arsenates, and vanadates",41.01.03.01,Georgiadesite,georgiadesite,"""georgiadesite"","
"Phosphates, arsenates, and vanadates",41.01.04.01,Sahlinite,sahlinite,"""sahlinite"","
"Phosphates, arsenates, and vanadates",41.01.04.02,Kombatite,kombatite,"""kombatite"","
"Phosphates, arsenates, and vanadates",41.02.01,Allactite,allactite,"""allactite"","
"Phosphates, arsenates, and vanadates",41.02.01.01,Allactite,allactite,"""allactite"","
"Phosphates, arsenates, and vanadates",41.02.01.02,Raadeite,raadeite,"""raadeite"","
"Phosphates, arsenates, and vanadates",41.02.01.03,Waterhouseite,waterhouseite,"""waterhouseite"","
"Phosphates, arsenates, and vanadates",41.02.02.01,Heyite,heyite,"""heyite"","
"Phosphates, arsenates, and vanadates",41.03.01,Clinoclase,clinoclase,"""clinoclase"","
"Phosphates, arsenates, and vanadates",41.03.01.01,Clinoclase,clinoclase,"""clinoclase"","
"Phosphates, arsenates, and vanadates",41.03.01.02,Gilmarite,gilmarite,"""gilmarite"","
"Phosphates, arsenates, and vanadates",41.03.01.03,Lapeyreite,lapeyreite,"""lapeyreite"","
"Phosphates, arsenates, and vanadates",41.03.02.01,Cornetite,cornetite,"""cornetite"","
"Phosphates, arsenates, and vanadates",41.03.02.02,Theoparacelsite,theoparacelsite,"""theoparacelsite"","
"Phosphates, arsenates, and vanadates",41.03.03.01,Flinkite,flinkite,"""flinkite"","
"Phosphates, arsenates, and vanadates",41.03.04,Retzian,retzian,"""retzian"","
"Phosphates, arsenates, and vanadates",41.03.04.01,Retzian,retzian,"""retzian"","
"Phosphates, arsenates, and vanadates",41.03.04.02,Retzian,retzian,"""retzian"","
"Phosphates, arsenates, and vanadates",41.03.04.03,Retzian,retzian,"""retzian"","
"Phosphates, arsenates, and vanadates",41.03.05.01,Viitaniemiite,viitaniemiite,"""viitaniemiite"","
"Phosphates, arsenates, and vanadates",41.03.06.01,Nacaphite,nacaphite,"""nacaphite"","
"Phosphates, arsenates, and vanadates",41.03.07.01,Gerdtremmelite,gerdtremmelite,"""gerdtremmelite"","
"Phosphates, arsenates, and vanadates",41.03.08.01,Paulkellerite,paulkellerite,"""paulkellerite"","
"Phosphates, arsenates, and vanadates",41.03.08.02,Brendelite,brendelite,"""brendelite"","
"Phosphates, arsenates, and vanadates",41.04.01.01,Arsenoclasite,arsenoclasite,"""arsenoclasite"","
"Phosphates, arsenates, and vanadates",41.04.01.02,Gatehouseite,gatehouseite,"""gatehouseite"","
"Phosphates, arsenates, and vanadates",41.04.02.01,Cornubite,cornubite,"""cornubite"","
"Phosphates, arsenates, and vanadates",41.04.02.02,Cornwallite,cornwallite,"""cornwallite"","
"Phosphates, arsenates, and vanadates",41.04.03.01,Pseudomalachite,pseudomalachite,"""pseudomalachite"","
"Phosphates, arsenates, and vanadates",41.04.03.02,Reichenbachite,reichenbachite,"""reichenbachite"","
"Phosphates, arsenates, and vanadates",41.04.03.03,Ludjibaite,ludjibaite,"""ludjibaite"","
"Phosphates, arsenates, and vanadates",41.04.04.01,Turanite,turanite,"""turanite"","
"Phosphates, arsenates, and vanadates",41.04.05.01,Stoiberite,stoiberite,"""stoiberite"","
"Phosphates, arsenates, and vanadates",41.04.05.02,Averievite,averievite,"""averievite"","
"Phosphates, arsenates, and vanadates",41.04.06.01,Nealite,nealite,"""nealite"","
"Phosphates, arsenates, and vanadates",41.04.07.01,Tancoite,tancoite,"""tancoite"","
"Phosphates, arsenates, and vanadates",41.04.08.01,Reppiaite,reppiaite,"""reppiaite"","
"Phosphates, arsenates, and vanadates",41.04.09,Medenbachite,medenbachite,"""medenbachite"","
"Phosphates, arsenates, and vanadates",41.04.09.01,Medenbachite,medenbachite,"""medenbachite"","
"Phosphates, arsenates, and vanadates",41.04.09.02,Neustadtelite,neustadtelite,"""neustadtelite"","
"Phosphates, arsenates, and vanadates",41.04.09.03,Cobaltneustadtelite,cobaltneustadtelite,"""cobaltneustadtelite"","
"Phosphates, arsenates, and vanadates",41.05.01,Adelite,adelite,"""adelite"","
"Phosphates, arsenates, and vanadates",41.05.01.01,Adelite,adelite,"""adelite"","
"Phosphates, arsenates, and vanadates",41.05.01.02,Conichalcite,conichalcite,"""conichalcite"","
"Phosphates, arsenates, and vanadates",41.05.01.03,Austinite,austinite,"""austinite"","
"Phosphates, arsenates, and vanadates",41.05.01.04,Duftite,duftite,"""duftite"","
"Phosphates, arsenates, and vanadates",41.05.01.05,Gabrielsonite,gabrielsonite,"""gabrielsonite"","
"Phosphates, arsenates, and vanadates",41.05.01.06,Tangeite,tangeite,"""tangeite"","
"Phosphates, arsenates, and vanadates",41.05.01.07,Nickelaustinite,nickelaustinite,"""nickelaustinite"","
"Phosphates, arsenates, and vanadates",41.05.01.08,Cobaltaustinite,cobaltaustinite,"""cobaltaustinite"","
"Phosphates, arsenates, and vanadates",41.05.01.09,Arsendescloizite,arsendescloizite,"""arsendescloizite"","
"Phosphates, arsenates, and vanadates",41.05.01.10,Gottlobite,gottlobite,"""gottlobite"","
"Phosphates, arsenates, and vanadates",41.05.02,Descloizite,descloizite,"""descloizite"","
"Phosphates, arsenates, and vanadates",41.05.02.01,Descloizite,descloizite,"""descloizite"","
"Phosphates, arsenates, and vanadates",41.05.02.02,Mottramite,mottramite,"""mottramite"","
"Phosphates, arsenates, and vanadates",41.05.02.03,Pyrobelonite,pyrobelonite,"""pyrobelonite"","
"Phosphates, arsenates, and vanadates",41.05.02.04,Cechite,cechite,"""cechite"","
"Phosphates, arsenates, and vanadates",41.05.02.05,Duftite,duftite,"""duftite"","
"Phosphates, arsenates, and vanadates",41.05.03.01,Babefphite,babefphite,"""babefphite"","
"Phosphates, arsenates, and vanadates",41.05.04,Herderite,herderite,"""herderite"","
"Phosphates, arsenates, and vanadates",41.05.04.01,Herderite,herderite,"""herderite"","
"Phosphates, arsenates, and vanadates",41.05.04.02,Hydroxylherderite,hydroxylherderite,"""hydroxylherderite"","
"Phosphates, arsenates, and vanadates",41.05.04.03,Vayrynenite,vayrynenite,"""vayrynenite"","
"Phosphates, arsenates, and vanadates",41.05.04.04,Bergslagite,bergslagite,"""bergslagite"","
"Phosphates, arsenates, and vanadates",41.05.05,Lacroixite,lacroixite,"""lacroixite"","
"Phosphates, arsenates, and vanadates",41.05.05.01,Lacroixite,lacroixite,"""lacroixite"","
"Phosphates, arsenates, and vanadates",41.05.05.02,Durangite,durangite,"""durangite"","
"Phosphates, arsenates, and vanadates",41.05.05.03,Maxwellite,maxwellite,"""maxwellite"","
"Phosphates, arsenates, and vanadates",41.05.06,Tilasite,tilasite,"""tilasite"","
"Phosphates, arsenates, and vanadates",41.05.06.01,Tilasite,tilasite,"""tilasite"","
"Phosphates, arsenates, and vanadates",41.05.06.02,Isokite,isokite,"""isokite"","
"Phosphates, arsenates, and vanadates",41.05.06.03,Panasqueiraite,panasqueiraite,"""panasqueiraite"","
"Phosphates, arsenates, and vanadates",41.05.07.01,Brazilianite,brazilianite,"""brazilianite"","
"Phosphates, arsenates, and vanadates",41.05.08,Amblygonite,amblygonite,"""amblygonite"","
"Phosphates, arsenates, and vanadates",41.05.08.01,Amblygonite,amblygonite,"""amblygonite"","
"Phosphates, arsenates, and vanadates",41.05.08.02,Montebrasite,montebrasite,"""montebrasite"","
"Phosphates, arsenates, and vanadates",41.05.08.03,Natromontebrasite,natromontebrasite,"""natromontebrasite"","
"Phosphates, arsenates, and vanadates",41.05.09.01,Tavorite,tavorite,"""tavorite"","
"Phosphates, arsenates, and vanadates",41.05.10,Dussertite,dussertite,"""dussertite"","
"Phosphates, arsenates, and vanadates",41.05.10.01,Dussertite,dussertite,"""dussertite"","
"Phosphates, arsenates, and vanadates",41.05.10.02,Florencite,florencite,"""florencite"","
"Phosphates, arsenates, and vanadates",41.05.10.03,Florencite,florencite,"""florencite"","
"Phosphates, arsenates, and vanadates",41.05.10.04,Florencite,florencite,"""florencite"","
"Phosphates, arsenates, and vanadates",41.05.11,Arsenoflorencite,arsenoflorencite,"""arsenoflorencite"","
"Phosphates, arsenates, and vanadates",41.05.11.01,Arsenoflorencite,arsenoflorencite,"""arsenoflorencite"","
"Phosphates, arsenates, and vanadates",41.05.11.02,Arsenoflorencite,arsenoflorencite,"""arsenoflorencite"","
"Phosphates, arsenates, and vanadates",41.05.11.03,Arsenoflorencite,arsenoflorencite,"""arsenoflorencite"","
"Phosphates, arsenates, and vanadates",41.05.11.04,Graulichite,graulichite,"""graulichite"","
"Phosphates, arsenates, and vanadates",41.05.12,Waylandite,waylandite,"""waylandite"","
"Phosphates, arsenates, and vanadates",41.05.12.01,Waylandite,waylandite,"""waylandite"","
"Phosphates, arsenates, and vanadates",41.05.12.02,Eylettersite,eylettersite,"""eylettersite"","
"Phosphates, arsenates, and vanadates",41.05.12.03,Zairite,zairite,"""zairite"","
"Phosphates, arsenates, and vanadates",41.05.12.04,Arsenogorceixite,arsenogorceixite,"""arsenogorceixite"","
"Phosphates, arsenates, and vanadates",41.05.13.01,Vesignieite,vesignieite,"""vesignieite"","
"Phosphates, arsenates, and vanadates",41.05.14.01,Bayldonite,bayldonite,"""bayldonite"","
"Phosphates, arsenates, and vanadates",41.05.15.01,Curetonite,curetonite,"""curetonite"","
"Phosphates, arsenates, and vanadates",41.05.16.01,Thadeuite,thadeuite,"""thadeuite"","
"Phosphates, arsenates, and vanadates",41.05.17.01,Leningradite,leningradite,"""leningradite"","
"Phosphates, arsenates, and vanadates",41.05.18.01,Arctite,arctite,"""arctite"","
"Phosphates, arsenates, and vanadates",41.05.19.01,Wilhelmkleinite,wilhelmkleinite,"""wilhelmkleinite"","
"Phosphates, arsenates, and vanadates",41.05.20.01,Artsmithite,artsmithite,"""artsmithite"","
"Phosphates, arsenates, and vanadates",41.06.01,Zwieselite,zwieselite,"""zwieselite"","
"Phosphates, arsenates, and vanadates",41.06.01.01,Zwieselite,zwieselite,"""zwieselite"","
"Phosphates, arsenates, and vanadates",41.06.01.02,Triplite,triplite,"""triplite"","
"Phosphates, arsenates, and vanadates",41.06.01.03,Magniotriplite,magniotriplite,"""magniotriplite"","
"Phosphates, arsenates, and vanadates",41.06.02,Wagnerite,wagnerite,"""wagnerite"","
"Phosphates, arsenates, and vanadates",41.06.02.01,Wagnerite,wagnerite,"""wagnerite"","
"Phosphates, arsenates, and vanadates",41.06.02.02,Hydroxylwagnerite,hydroxylwagnerite,"""hydroxylwagnerite"","
"Phosphates, arsenates, and vanadates",41.06.03,Wolfeite,wolfeite,"""wolfeite"","
"Phosphates, arsenates, and vanadates",41.06.03.01,Wolfeite,wolfeite,"""wolfeite"","
"Phosphates, arsenates, and vanadates",41.06.03.02,Triploidite,triploidite,"""triploidite"","
"Phosphates, arsenates, and vanadates",41.06.03.03,Sarkinite,sarkinite,"""sarkinite"","
"Phosphates, arsenates, and vanadates",41.06.03.04,Stanekite,stanekite,"""stanekite"","
"Phosphates, arsenates, and vanadates",41.06.03.06,Joosteite,joosteite,"""joosteite"","
"Phosphates, arsenates, and vanadates",41.06.04,Satterlyite,satterlyite,"""satterlyite"","
"Phosphates, arsenates, and vanadates",41.06.04.01,Satterlyite,satterlyite,"""satterlyite"","
"Phosphates, arsenates, and vanadates",41.06.04.02,Holtedahlite,holtedahlite,"""holtedahlite"","
"Phosphates, arsenates, and vanadates",41.06.05.01,Althausite,althausite,"""althausite"","
"Phosphates, arsenates, and vanadates",41.06.06,Olivenite,olivenite,"""olivenite"","
"Phosphates, arsenates, and vanadates",41.06.06.01,Olivenite,olivenite,"""olivenite"","
"Phosphates, arsenates, and vanadates",41.06.06.02,Libethenite,libethenite,"""libethenite"","
"Phosphates, arsenates, and vanadates",41.06.06.03,Adamite,adamite,"""adamite"","
"Phosphates, arsenates, and vanadates",41.06.06.04,Eveite,eveite,"""eveite"","
"Phosphates, arsenates, and vanadates",41.06.06.05,Zincolibethenite,zincolibethenite,"""zincolibethenite"","
"Phosphates, arsenates, and vanadates",41.06.06.06,Zincolivenite,zincolivenite,"""zincolivenite"","
"Phosphates, arsenates, and vanadates",41.06.07,Tarbuttite,tarbuttite,"""tarbuttite"","
"Phosphates, arsenates, and vanadates",41.06.07.01,Tarbuttite,tarbuttite,"""tarbuttite"","
"Phosphates, arsenates, and vanadates",41.06.07.02,Paradamite,paradamite,"""paradamite"","
"Phosphates, arsenates, and vanadates",41.06.08.01,Augelite,augelite,"""augelite"","
"Phosphates, arsenates, and vanadates",41.06.09.01,Arsenobismite,arsenobismite,"""arsenobismite"","
"Phosphates, arsenates, and vanadates",41.06.10.01,Angelellite,angelellite,"""angelellite"","
"Phosphates, arsenates, and vanadates",41.06.11.01,Spodiosite,spodiosite,"""spodiosite"","
"Phosphates, arsenates, and vanadates",41.07.01,Palermoite,palermoite,"""palermoite"","
"Phosphates, arsenates, and vanadates",41.07.01.01,Palermoite,palermoite,"""palermoite"","
"Phosphates, arsenates, and vanadates",41.07.01.02,Bertossaite,bertossaite,"""bertossaite"","
"Phosphates, arsenates, and vanadates",41.07.02a,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.00,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.01,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.02,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.03,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.04,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.05,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.06,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02a.07,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02b,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02b.01,Fluorarrojadite,fluorarrojadite,"""fluorarrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02b.02,Fluorarrojadite,fluorarrojadite,"""fluorarrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02b.03,Fluorarrojadite,fluorarrojadite,"""fluorarrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02c,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02c.01,Ferri-arrojadite,ferri-arrojadite,"""ferri-arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02d,Arrojadite,arrojadite,"""arrojadite"","
"Phosphates, arsenates, and vanadates",41.07.02d.00,Dickinsonite,dickinsonite,"""dickinsonite"","
"Phosphates, arsenates, and vanadates",41.07.02d.01,Dickinsonite,dickinsonite,"""dickinsonite"","
"Phosphates, arsenates, and vanadates",41.07.02d.02,Dickinsonite,dickinsonite,"""dickinsonite"","
"Phosphates, arsenates, and vanadates",41.07.02d.03,Dickinsonite,dickinsonite,"""dickinsonite"","
"Phosphates, arsenates, and vanadates",41.07.02d.04,Dickinsonite,dickinsonite,"""dickinsonite"","
"Phosphates, arsenates, and vanadates",41.07.04.01,Lulzacite,lulzacite,"""lulzacite"","
"Phosphates, arsenates, and vanadates",41.08.01,Apatite,apatite,"""apatite"","
"Phosphates, arsenates, and vanadates",41.08.01.00,Apatite,apatite,"""apatite"","
"Phosphates, arsenates, and vanadates",41.08.01.01,Apatite,apatite,"""apatite"","
"Phosphates, arsenates, and vanadates",41.08.01.02,Apatite,apatite,"""apatite"","
"Phosphates, arsenates, and vanadates",41.08.01.03,Apatite,apatite,"""apatite"","
"Phosphates, arsenates, and vanadates",41.08.01.04,Carbonate-fluorapatite,carbonate-fluorapatite,"""carbonate-fluorapatite"","
"Phosphates, arsenates, and vanadates",41.08.01.05,Carbonate-hydroxylapatite,carbonate-hydroxylapatite,"""carbonate-hydroxylapatite"","
"Phosphates, arsenates, and vanadates",41.08.01.06,Belovite,belovite,"""belovite"","
"Phosphates, arsenates, and vanadates",41.08.01.06a,Belovite,belovite,"""belovite"","
"Phosphates, arsenates, and vanadates",41.08.01.06b,Kuannersuite,kuannersuite,"""kuannersuite"","
"Phosphates, arsenates, and vanadates",41.08.01.07,Apatite,apatite,"""apatite"","
"Phosphates, arsenates, and vanadates",41.08.01.08,Fluorcaphite,fluorcaphite,"""fluorcaphite"","
"Phosphates, arsenates, and vanadates",41.08.01.09,Deloneite,deloneite,"""deloneite"","
"Phosphates, arsenates, and vanadates",41.08.01.12,Phosphohedyphane,phosphohedyphane,"""phosphohedyphane"","
"Phosphates, arsenates, and vanadates",41.08.02.01,Hedyphane,hedyphane,"""hedyphane"","
"Phosphates, arsenates, and vanadates",41.08.03,Svabite,svabite,"""svabite"","
"Phosphates, arsenates, and vanadates",41.08.03.01,Svabite,svabite,"""svabite"","
"Phosphates, arsenates, and vanadates",41.08.03.02,Turneaureite,turneaureite,"""turneaureite"","
"Phosphates, arsenates, and vanadates",41.08.03.03,Johnbaumite,johnbaumite,"""johnbaumite"","
"Phosphates, arsenates, and vanadates",41.08.03.04,Fermorite,fermorite,"""fermorite"","
"Phosphates, arsenates, and vanadates",41.08.04,Pyromorphite,pyromorphite,"""pyromorphite"","
"Phosphates, arsenates, and vanadates",41.08.04.01,Pyromorphite,pyromorphite,"""pyromorphite"","
"Phosphates, arsenates, and vanadates",41.08.04.02,Mimetite,mimetite,"""mimetite"","
"Phosphates, arsenates, and vanadates",41.08.04.03,Vanadinite,vanadinite,"""vanadinite"","
"Phosphates, arsenates, and vanadates",41.08.04.04,Hydroxylpyromorphite,hydroxylpyromorphite,"""hydroxylpyromorphite"","
"Phosphates, arsenates, and vanadates",41.08.05,Morelandite,morelandite,"""morelandite"","
"Phosphates, arsenates, and vanadates",41.08.05.01,Morelandite,morelandite,"""morelandite"","
"Phosphates, arsenates, and vanadates",41.08.05.02,Alforsite,alforsite,"""alforsite"","
"Phosphates, arsenates, and vanadates",41.08.06,Clinomimetite,clinomimetite,"""clinomimetite"","
"Phosphates, arsenates, and vanadates",41.08.06.01,Clinomimetite,clinomimetite,"""clinomimetite"","
"Phosphates, arsenates, and vanadates",41.08.06.02,Apatite,apatite,"""apatite"","
"Phosphates, arsenates, and vanadates",41.09.01,Kulanite,kulanite,"""kulanite"","
"Phosphates, arsenates, and vanadates",41.09.01.01,Kulanite,kulanite,"""kulanite"","
"Phosphates, arsenates, and vanadates",41.09.01.02,Penikisite,penikisite,"""penikisite"","
"Phosphates, arsenates, and vanadates",41.09.01.03,Bjarebyite,bjarebyite,"""bjarebyite"","
"Phosphates, arsenates, and vanadates",41.09.01.04,Perloffite,perloffite,"""perloffite"","
"Phosphates, arsenates, and vanadates",41.09.01.05,Johntomaite,johntomaite,"""johntomaite"","
"Phosphates, arsenates, and vanadates",41.09.02,Rockbridgeite,rockbridgeite,"""rockbridgeite"","
"Phosphates, arsenates, and vanadates",41.09.02.01,Rockbridgeite,rockbridgeite,"""rockbridgeite"","
"Phosphates, arsenates, and vanadates",41.09.02.02,Frondelite,frondelite,"""frondelite"","
"Phosphates, arsenates, and vanadates",41.09.02.03,Plimerite,plimerite,"""plimerite"","
"Phosphates, arsenates, and vanadates",41.09.03.01,Griphite,griphite,"""griphite"","
"Phosphates, arsenates, and vanadates",41.10.01,Lazulite,lazulite,"""lazulite"","
"Phosphates, arsenates, and vanadates",41.10.01.01,Lazulite,lazulite,"""lazulite"","
"Phosphates, arsenates, and vanadates",41.10.01.02,Scorzalite,scorzalite,"""scorzalite"","
"Phosphates, arsenates, and vanadates",41.10.01.03,Hentschelite,hentschelite,"""hentschelite"","
"Phosphates, arsenates, and vanadates",41.10.01.04,Barbosalite,barbosalite,"""barbosalite"","
"Phosphates, arsenates, and vanadates",41.10.02,Lipscombite,lipscombite,"""lipscombite"","
"Phosphates, arsenates, and vanadates",41.10.02.01,Lipscombite,lipscombite,"""lipscombite"","
"Phosphates, arsenates, and vanadates",41.10.02.02,Zinclipscombite,zinclipscombite,"""zinclipscombite"","
"Phosphates, arsenates, and vanadates",41.10.03.01,Jagowerite,jagowerite,"""jagowerite"","
"Phosphates, arsenates, and vanadates",41.10.04,Goedkenite,goedkenite,"""goedkenite"","
"Phosphates, arsenates, and vanadates",41.10.04.01,Goedkenite,goedkenite,"""goedkenite"","
"Phosphates, arsenates, and vanadates",41.10.04.02,Bearthite,bearthite,"""bearthite"","
"Phosphates, arsenates, and vanadates",41.10.04.03,Gamagarite,gamagarite,"""gamagarite"","
"Phosphates, arsenates, and vanadates",41.10.04.04,Tokyoite,tokyoite,"""tokyoite"","
"Phosphates, arsenates, and vanadates",41.10.05.01,Melonjosephite,melonjosephite,"""melonjosephite"","
"Phosphates, arsenates, and vanadates",41.10.06,Carminite,carminite,"""carminite"","
"Phosphates, arsenates, and vanadates",41.10.06.01,Carminite,carminite,"""carminite"","
"Phosphates, arsenates, and vanadates",41.10.06.02,Sewardite,sewardite,"""sewardite"","
"Phosphates, arsenates, and vanadates",41.10.07,Mounanaite,mounanaite,"""mounanaite"","
"Phosphates, arsenates, and vanadates",41.10.07.01,Mounanaite,mounanaite,"""mounanaite"","
"Phosphates, arsenates, and vanadates",41.10.07.02,Krettnichite,krettnichite,"""krettnichite"","
"Phosphates, arsenates, and vanadates",41.10.08.01,Samuelsonite,samuelsonite,"""samuelsonite"","
"Phosphates, arsenates, and vanadates",41.10.09,Preisingerite,preisingerite,"""preisingerite"","
"Phosphates, arsenates, and vanadates",41.10.09.01,Preisingerite,preisingerite,"""preisingerite"","
"Phosphates, arsenates, and vanadates",41.10.09.02,Schumacherite,schumacherite,"""schumacherite"","
"Phosphates, arsenates, and vanadates",41.10.10.01,Petitjeanite,petitjeanite,"""petitjeanite"","
"Phosphates, arsenates, and vanadates",41.10.11.01,Drugmanite,drugmanite,"""drugmanite"","
"Phosphates, arsenates, and vanadates",41.11.01.01,Trolleite,trolleite,"""trolleite"","
"Phosphates, arsenates, and vanadates",41.11.02.01,Jamesite,jamesite,"""jamesite"","
"Phosphates, arsenates, and vanadates",41.11.03.01,Fingerite,fingerite,"""fingerite"","
"Phosphates, arsenates, and vanadates",41.11.04.01,Nefedovite,nefedovite,"""nefedovite"","
"Phosphates, arsenates, and vanadates",41.11.05.01,Atelestite,atelestite,"""atelestite"","
"Phosphates, arsenates, and vanadates",41.11.06,Smrkovecite,smrkovecite,"""smrkovecite"","
"Phosphates, arsenates, and vanadates",41.11.06.01,Smrkovecite,smrkovecite,"""smrkovecite"","
"Phosphates, arsenates, and vanadates",41.11.06.02,Hechtsbergite,hechtsbergite,"""hechtsbergite"","
"Phosphates, arsenates, and vanadates",41.11.07.01,Coparsite,coparsite,"""coparsite"","
"Phosphates, arsenates, and vanadates",42.01.01.01,Liskeardite,liskeardite,"""liskeardite"","
"Phosphates, arsenates, and vanadates",42.01.02.01,Evansite,evansite,"""evansite"","
"Phosphates, arsenates, and vanadates",42.01.03.01,Nielsbohrite,nielsbohrite,"""nielsbohrite"","
"Phosphates, arsenates, and vanadates",42.02.01.01,Liroconite,liroconite,"""liroconite"","
"Phosphates, arsenates, and vanadates",42.02.02.01,Ranunculite,ranunculite,"""ranunculite"","
"Phosphates, arsenates, and vanadates",42.02.03.01,Veszelyite,veszelyite,"""veszelyite"","
"Phosphates, arsenates, and vanadates",42.02.04,Kipushite,kipushite,"""kipushite"","
"Phosphates, arsenates, and vanadates",42.02.04.01,Kipushite,kipushite,"""kipushite"","
"Phosphates, arsenates, and vanadates",42.02.04.02,Philipsburgite,philipsburgite,"""philipsburgite"","
"Phosphates, arsenates, and vanadates",42.02.05.01,Phosphogartrellite,phosphogartrellite,"""phosphogartrellite"","
"Phosphates, arsenates, and vanadates",42.02.06.01,Radovanite,radovanite,"""radovanite"","
"Phosphates, arsenates, and vanadates",42.03.01.01,Rusakovite,rusakovite,"""rusakovite"","
"Phosphates, arsenates, and vanadates",42.04.01,Akrochordite,akrochordite,"""akrochordite"","
"Phosphates, arsenates, and vanadates",42.04.01.01,Akrochordite,akrochordite,"""akrochordite"","
"Phosphates, arsenates, and vanadates",42.04.01.02,Guanacoite,guanacoite,"""guanacoite"","
"Phosphates, arsenates, and vanadates",42.04.02,Morinite,morinite,"""morinite"","
"Phosphates, arsenates, and vanadates",42.04.02.01,Morinite,morinite,"""morinite"","
"Phosphates, arsenates, and vanadates",42.04.02.02,Esperanzaite,esperanzaite,"""esperanzaite"","
"Phosphates, arsenates, and vanadates",42.04.03.01,Tyrolite,tyrolite,"""tyrolite"","
"Phosphates, arsenates, and vanadates",42.04.04.01,Clinotyrolite,clinotyrolite,"""clinotyrolite"","
"Phosphates, arsenates, and vanadates",42.04.05,Dumontite,dumontite,"""dumontite"","
"Phosphates, arsenates, and vanadates",42.04.05.01,Dumontite,dumontite,"""dumontite"","
"Phosphates, arsenates, and vanadates",42.04.05.02,Hugelite,hugelite,"""hugelite"","
"Phosphates, arsenates, and vanadates",42.04.05.03,Bergenite,bergenite,"""bergenite"","
"Phosphates, arsenates, and vanadates",42.04.06,Phuralumite,phuralumite,"""phuralumite"","
"Phosphates, arsenates, and vanadates",42.04.06.01,Phuralumite,phuralumite,"""phuralumite"","
"Phosphates, arsenates, and vanadates",42.04.06.02,Lakebogaite,lakebogaite,"""lakebogaite"","
"Phosphates, arsenates, and vanadates",42.04.07.01,Phurcalite,phurcalite,"""phurcalite"","
"Phosphates, arsenates, and vanadates",42.04.08.01,Phosphuranylite,phosphuranylite,"""phosphuranylite"","
"Phosphates, arsenates, and vanadates",42.04.09,Arsenuranylite,arsenuranylite,"""arsenuranylite"","
